Ref,Val,Package,PosX,PosY,Rot,Side
"J1","QSH-060-01-X-D-A_JetsonTXx","samtec-qsh-QSH-060-01-X-D-A",5.755512,-4.074803,90.000000,top
"R1","0","R_0805_HandSoldering",4.401095,-5.101610,0.000000,top
"R2","0","R_0805_HandSoldering",4.401095,-5.201610,0.000000,top
"R3","0","R_0805_HandSoldering",3.794494,-5.364174,0.000000,top
"R4","0","R_0805_HandSoldering",3.794494,-5.264174,0.000000,top
"R5","0","R_0805_HandSoldering",3.793727,-4.965077,0.000000,top
"R6","0","R_0805_HandSoldering",3.793727,-4.865077,0.000000,top
"R7","0","R_0805_HandSoldering",4.294480,-4.690000,180.000000,top
"R8","0","R_0805_HandSoldering",4.294480,-4.790000,180.000000,top
"R9","0","R_0805_HandSoldering",3.865541,-4.316505,180.000000,top
"R10","0","R_0805_HandSoldering",3.865541,-4.416505,180.000000,top
